SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KK,Outcome 1,Sociology Students,,Key Knowledge,The nature of sociological inquiry:,,1,1
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KK,Outcome 1,Sociology Students,,Key Knowledge,"The observation, collection and analysis of data",,1,2
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KK,Outcome 1,Sociology Students,,Key Knowledge,How sociologists use ethical methodologies to study human behaviour,,1,3
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KK,Outcome 1,Sociology Students,,Key Knowledge,The use of the sociological imagination,,1,4
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KK,Outcome 1,Sociology Students,,Key Knowledge,The social category of youth and how the definition has changed over time,,1,5
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KK,Outcome 1,Sociology Students,,Key Knowledge,Representations of youth in the media,,1,6
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KK,Outcome 1,Sociology Students,,Key Knowledge,"Cultural, social, economic and technological factors leading to differences in the experience of being young.",,1,7
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KS,Outcome 1,Sociology Students,,Key Skills,Explain and apply sociological concepts,,1,1
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KS,Outcome 1,Sociology Students,,Key Skills,Describe the nature of sociological inquiry,,1,2
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KS,Outcome 1,Sociology Students,,Key Skills,Discuss the concept of youth as a social category,,1,3
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,,VCESOU1AS1O1KS,Outcome 1,Sociology Students,,Key Skills,Explain how the definition of youth has changed over time,,1,4
