SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS12,,,,UnitHeader,,Unit 1: Youth and family,,,0
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS12,,,,Paragraph,,Unit 1: Youth and family,"In this unit, students use sociological methodology to explore the social category of youth and the social institution of family. Sociologists draw on methods of science to understand how and why people behave the way they do when they interact in a group. Sociology attempts to understand human society from a holistic point of view, including consideration of society's composition, how it is reproduced over time and the differences between societies. When sociologists investigate a topic, they attempt to do so with a reflective, critical mindset. Sociologists are guided by theories, or frameworks, to explain and analyse how social action, social processes and social structures work.",,1
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS12,,,,Paragraph,,Unit 1: Youth and family,"In Area of Study 1, students explore the way youth is constructed as a social category, in the light of differing experiences of young people. Students examine how and why the experience of being young differs across time and space. They examine a range of factors that lead to different experiences of youth, as well as the potential negative impacts of homogenous categorisation, such as stereotypes of young people in a context characterised by a rich diversity in the ways young people live.",,2
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS12,,,,Paragraph,,Unit 1: Youth and family,"In Area of Study 2, students investigate the social institution of the family. In a multicultural society like Australia, different communities have different kinds of families and experiences of family life. Students explore various factors that influence the diversity of these experiences such as demographic shifts, as well as cultural, economic, technological and social developments. A range of theoretical approaches are used by sociologists to explain the purpose and experiences of family life, including functionalist and feminist approaches. Comparative methodologies also enable comparison of family types and family experiences across time and space.",,3
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS12,,,,Paragraph,,Unit 1: Youth and family,Students draw on quantitative and qualitative sources in their study. These sources may be drawn from secondary sources and from primary research undertaken by the student. The Safety and wellbeing section on page 7 contains advice for the conduct of primary research.,,4
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY01,Descriptor,,Category and experience of youth,"In this area of study, students are introduced to the discipline of sociology and the nature of sociological inquiry through the study of youth.",,1
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY01,Elaboration,,Category and experience of youth,,"This includes an introduction to the sociological imagination, a critical thinking tool used to explore the social world from multiple points of view, free from assumption and bias.",2
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY01,Elaboration,,Category and experience of youth,,"The sociological imagination, a term coined by Charles Wright Mills (1959), allows us to make links between personal behaviours and public issues.",3
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY01,Elaboration,,Category and experience of youth,,"Additionally, the Australian sociologist Evan Willis suggests that the sociological imagination is best put into practice by addressing four interrelated facets of any social phenomena: historical, cultural, structural and critical factors.",4
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY02,Descriptor,,Category and experience of youth,"The experience of being young has varied and continues to vary across time as well as across space; for example, the experience of being young in an isolated rural environment is different from that of being young in a large city.",,5
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY02,Elaboration,,Category and experience of youth,,"In their exploration of youth, students consider examples from Australia and, where useful in providing a comparative perspective, examples from other societies.",6
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY03,Descriptor,,Category and experience of youth,"Students examine how Australians have thought about youth as a social category, and the range of experiences of young people.",,7
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY03,Elaboration,,Category and experience of youth,,"The concept of a social category refers to a group of people who share at least one similar characteristic, but who do not necessarily interact with each other.",8
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY03,Elaboration,,Category and experience of youth,,"For example, grouping based on age or gender-based attributes.",9
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY03,Elaboration,,Category and experience of youth,,Students consider a range of factors that influence the lives of young people.,10
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY03,Elaboration,,Category and experience of youth,,"These may include cultural factors such as ethnicity, religion, gender roles and coming of age rituals; social factors such as age, class, residential location, gender, sexual orientation, parental relationships, peer pressure and participation in sub-cultures; economic factors such as unemployment, education, demographic shifts and intergenerational inequity; and technological factors such as the introduction of new technologies, use of information and communications technology and social media and participation in online communities.",11
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY04,Descriptor,,Category and experience of youth,Students examine how social categories are used to convey ideas about young people and how the definitions of these categories have changed over time.,,12
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY04,Elaboration,,Category and experience of youth,,"In their examination of the concept and experience of youth, they explore media representations across print, digital and social media.",13
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY04,Elaboration,,Category and experience of youth,,"Students consider the types, accuracy and impact of these representations, including instances of stereotyping, prejudice and discrimination.",14
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY05,Descriptor,,Category and experience of youth,On completion of this unit the student should be able to describe the nature of sociological inquiry and discuss youth as a social category.,,15
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,,Area of Study 1 - Category and experience of youth,VCESOU1AS1CEY06,Descriptor,,Category and experience of youth,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.,,16
