SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,,VCETTU1AS1O1KK,Outcome 1,Texts and Traditions Students,,Key Knowledge,The history of the key moments of the development of the sacred text,,1,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,,VCETTU1AS1O1KK,Outcome 1,Texts and Traditions Students,,Key Knowledge,The history of the key moments of the acceptance of the sacred text,,1,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,,VCETTU1AS1O1KK,Outcome 1,Texts and Traditions Students,,Key Knowledge,The characteristics of those texts and the ways that some sacred texts perform a function within their wider literary and religious context,,1,3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,,VCETTU1AS1O1KS,Outcome 1,Texts and Traditions Students,,Key Skills,Identify and explain the key moments of the development of the sacred text,,1,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,,VCETTU1AS1O1KS,Outcome 1,Texts and Traditions Students,,Key Skills,Identify and explain the key moments of the acceptance of the sacred text,,1,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,,VCETTU1AS1O1KS,Outcome 1,Texts and Traditions Students,,Key Skills,Analyse the characteristics and function of a sacred text within its wider literary and religious context,,1,3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,,Area of Study 2 - The exegesis of texts,,VCETTU1AS2O2KK,Outcome 2,Texts and Traditions Students,,Key Knowledge,"Characteristics of the original sociocultural, political, religious and historical setting of selected religious texts",,1,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,,Area of Study 2 - The exegesis of texts,,VCETTU1AS2O2KK,Outcome 2,Texts and Traditions Students,,Key Knowledge,"Exegetical methods appropriate to exploring the meaning of these texts in their sociocultural setting, including literary context, literary forms and techniques, themes, and the meaning for the original audience",,1,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,,Area of Study 2 - The exegesis of texts,,VCETTU1AS2O2KK,Outcome 2,Texts and Traditions Students,,Key Knowledge,Appropriate commentaries and other scholarly works,,1,3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,,Area of Study 2 - The exegesis of texts,,VCETTU1AS2O2KS,Outcome 2,Texts and Traditions Students,,Key Skills,"Identify sociocultural, political, religious and historical information relevant to an understanding of selected texts",,1,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,,Area of Study 2 - The exegesis of texts,,VCETTU1AS2O2KS,Outcome 2,Texts and Traditions Students,,Key Skills,"Apply exegetical methods to a foundational text, including literary context, literary forms and techniques, themes, and the meaning for the original audience",,1,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,,Area of Study 2 - The exegesis of texts,,VCETTU1AS2O2KS,Outcome 2,Texts and Traditions Students,,Key Skills,Use commentaries and other scholarly works where appropriate,,1,3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS3,,Area of Study 3 - Sacred texts and later traditions,,VCETTU1AS3O3KK,Outcome 3,Texts and Traditions Students,,Key Knowledge,"The ways the later religious tradition showed its understanding of selected sacred texts through such means as feasts, festivals, rituals and popular custom, and/or",,1,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS3,,Area of Study 3 - Sacred texts and later traditions,,VCETTU1AS3O3KK,Outcome 3,Texts and Traditions Students,,Key Knowledge,"The ways art, literature, film, calligraphy, music, architecture or other artistic forms have provided interpretations of selected texts of the religious tradition",,1,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS3,,Area of Study 3 - Sacred texts and later traditions,,VCETTU1AS3O3KK,Outcome 3,Texts and Traditions Students,,Key Knowledge,Key aspects of relevant scholarly commentaries and religious writings,,1,3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS3,,Area of Study 3 - Sacred texts and later traditions,,VCETTU1AS3O3KS,Outcome 3,Texts and Traditions Students,,Key Skills,"Analyse meanings attributed to a sacred text by the later religious tradition, and/or",,1,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS3,,Area of Study 3 - Sacred texts and later traditions,,VCETTU1AS3O3KS,Outcome 3,Texts and Traditions Students,,Key Skills,Analyse the interpretation of a sacred text offered in an artistic medium,,1,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS3,,Area of Study 3 - Sacred texts and later traditions,,VCETTU1AS3O3KS,Outcome 3,Texts and Traditions Students,,Key Skills,Identify and summarise scholarly commentaries and religious writings,,1,3
Humanities,Texts and Traditions,Year 11,Unit 2,VCETTU2AS1,,Area of Study 1 - Sacred texts in the past,,VCETTU2AS1O1KK,Outcome 1,Texts and Traditions Students,,Key Knowledge,"When, where, why and how the sacred texts took shape and developed",,1,1
Humanities,Texts and Traditions,Year 11,Unit 2,VCETTU2AS1,,Area of Study 1 - Sacred texts in the past,,VCETTU2AS1O1KK,Outcome 1,Texts and Traditions Students,,Key Knowledge,"The historical people, places and events relating to the development of social attitudes, cultural beliefs and teachings in selected sacred texts",,1,2
Humanities,Texts and Traditions,Year 11,Unit 2,VCETTU2AS1,,Area of Study 1 - Sacred texts in the past,,VCETTU2AS1O1KK,Outcome 1,Texts and Traditions Students,,Key Knowledge,"Particular attitudes, beliefs and teachings expressed in selected sacred texts that relate to past ideas, such as social structures, justice, authority, the environment, racism, gender and others",,1,3
