SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,,A,The books of Jeremiah and Ezekiel,,,,Header,Section A: The books of Jeremiah and Ezekiel,,1
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA1,A,The books of Jeremiah and Ezekiel,1,Q1,10,Question,"Who was Jehoiakim?
Compare the message of Uriah to that of the prophet Jeremiah.
Discuss how the fates of the prophet Jeremiah and Uriah were different.",,2
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA2,A,The books of Jeremiah and Ezekiel,2,Q2,10,Question,"g
What is a metaphor?
Explain the function of the metaphor that the prophet Ezekiel uses in Chapter 16 of the
book of Ezekiel concerning the city of Jerusalem.
Discuss two other examples referring to historical situations where Ezekiel uses the same
metaphor to demonstrate God's care for the city of Jerusalem.",,3
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA3,A,The books of Jeremiah and Ezekiel,3,Q3,10,Question,":
What is divine justice? Explain how this is presented in both books of Jeremiah and
Ezekiel, using two examples for each prophet from the set chapters you have studied this
year. Discuss how each prophet explained this for his audience.
Answer all parts of Question 4.",,4
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA4,A,The books of Jeremiah and Ezekiel,4,Q4,10,Question,"Name a textual theme arising directly from the set text that was interpreted by the later
religious tradition that you have studied.",,5
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA4,A,The books of Jeremiah and Ezekiel,4a,Q4a,3,SubQuestion,"Outline how this textual theme developed from the original set text to the time of the
later religious tradition.",,6
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA4,A,The books of Jeremiah and Ezekiel,4b,Q4b,4,SubQuestion,"Discuss the ways that the later tradition explained its interpretation of the theme, and
changes that may have occurred over time.",,7
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA4,A,The books of Jeremiah and Ezekiel,4c,Q4c,3,SubQuestion,"Explain the relevance of the original sacred text to the later tradition's understanding
of this textual theme.",,8
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA4,A,The books of Jeremiah and Ezekiel,4,Q4,,MidQuestionContext,"Part 2 - Exegetical response
Instructions
Write an exegesis on one of the following extracts.
As part of your exegesis, you must comment on the meaning and significance of the words and
phrases in bold type in the context of the extract.
Inthe Answer Book indicate which question you are responding to.
Your response will be assessed according to the assessment criteria set out on page 23.",,9
Humanities,Texts and Traditions,,,Year 12,Final Exam,Exam Questions,2024,,VCETT24ERA,VCETT24EQA5,A,The books of Jeremiah and Ezekiel,5,Q5,30,Question,"Jeremiah 7:1-5, 8-15
'The word which came to Jeremiah from the LorD: ""Stand at the gate of the
House of the Lorp, and proclaim this word: Hear the word of the Lorb, all
you of Judah who enter these gates to worship the Lorp!
3Thus said the Lorp of Hosts, the God of Isracl: Mend your ways and your
i actions, and I wil let you dwell in this place. ""Don't put your trust in illusions
and say, ""The Temple of the LorD, the Temple of the LorD, the Temple of
E the Lorp are these [buildings]."" 5No, if you really mend your ways and your
= actions; if you execute justice between one man and another; ...RSee, you
are relying on illusions that are of no avail. Wil you steal and murder and
2 commit adultery and swear falsely, and sacrifice to Baal, and follow other gods
g whom you have not experienced, 1%nd then come and stand before Me in this
House which bears My name and say, ""We are safe""?-[Safe] to do all these
g abhorrent things! """"po you consider this House, which bears My name, to be
Q a den of thieves? As for Me, I have been watching-declares the Lorp.
Just go to My place at Shiloh, where I had established My name formerly,
and see what I did to it because of the wickedness of My people Israel. BAnd
now, because you do all these things-declares the Lorb-and though I spoke
to you persistently, you would not listen; and though I called to you, you would
not respondfmtherefore will I do to the House which bears My name,
which you rely, and to the place which I gave you and your fathers, just what
1did to Shiloh. *And I will cast you out of My presence as I cast out your
brothers, the whole brood of Ephraim.",,10
