SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS12,,,,UnitHeader,,Unit 1: Texts in traditions,,,0
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS12,,,,Paragraph,,Unit 1: Texts in traditions,In this unit students examine the place of sacred texts and their literary forms within a religious tradition. Students explore the importance of sacred texts as the source of a tradition and learn how to interpret and describe their meaning for the earlier and continuing tradition.,,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS12,,,,Paragraph,,Unit 1: Texts in traditions,"The process of searching for and giving expression to the meaning of texts is called exegesis. This unit introduces students to basic methods of exegesis to bring about a deeper awareness of how sacred texts came about, and the meaning of those texts for the religious tradition. The skills of exegetical method are introduced to the students.",,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS12,,,,Paragraph,,Unit 1: Texts in traditions,This unit also explores how sacred texts have been used by people both within and beyond the religious tradition to bring meaning to issues or ideas in a new cultural setting.,,3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS12,,,,Paragraph,,Unit 1: Texts in traditions,This unit requires the study of sacred texts in a variety of literary forms. The texts may come from one religious tradition or from a range of religious traditions.,,4
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS12,,,,Paragraph,,Unit 1: Texts in traditions,"There are no prescribed texts for Unit 1. The following criteria should be used to select texts on which
to base courses for this unit:",,5
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS12,,,,Paragraph,,Unit 1: Texts in traditions,The following criteria should be used to select a religious tradition or traditions on which to base courses for this unit:,,6
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT01,Descriptor,,The importance of sacred texts to the tradition,"The origins of some ancient texts are obscure, while others can be clearly located within defined historical events.",,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT01,Elaboration,,The importance of sacred texts to the tradition,,"Some sacred texts show evidence of development, compilation and editing.",2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT01,Elaboration,,The importance of sacred texts to the tradition,,"However, as the sacred texts exist within the sacred books of a tradition, they indicate a particular sociocultural and historical setting that reflects their meaning for that religious tradition.",3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT02,Descriptor,,The importance of sacred texts to the tradition,"Many religious traditions are based on an extensive series of writings that are carefully preserved within, and as, sacred books.",,4
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT03,Descriptor,,The importance of sacred texts to the tradition,Ancient writings remain rich stores of wisdom and spiritual insight for their religious traditions.,,5
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT03,Elaboration,,The importance of sacred texts to the tradition,,The collection of a variety of literary forms into one larger body of sacred texts gives further meaning to each individual text.,6
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT04,Descriptor,,The importance of sacred texts to the tradition,"An understanding of how the text came to be, how it was accepted by the original community and how it came to be seen to be sacred helps a student understand the text more fully.",,7
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT04,Elaboration,,The importance of sacred texts to the tradition,,To look at the development of a text in its original historical setting can bring about new insights into the meaning and purpose of a text.,8
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,,Area of Study 1 - The importance of sacred texts to the tradition,VCETTU1AS1ISTT05,Descriptor,,The importance of sacred texts to the tradition,In this area of study students focus on how texts grew out of a historical setting and how those texts came to be understood as being sacred.,,9
