SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Humanities,Texts and Traditions,,,"VCETTU1AS1,VCETTU1AS2,VCETTU1AS3,VCETTU2AS1,VCETTU2AS2,VCETTU2AS3,VCETTU3AS1,VCETTU3AS2,VCETTU3AS3,VCETTU4AS1,VCETTU4AS2,VCETTU4AS3",,,,,Header,,Humanities - Texts and Traditions,Texts and Traditions - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/texts-and-traditions/teaching-and-learning,0
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1,,,,,UnitHeading,Unit 1: Texts in traditions,,,,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,,,OutcomeHeading,Outcome 1,,,,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,,,OutcomeDescription,"Understand the history of the formation of the sacred text, and be able to recognise and explain the development and acceptance of the text into the religious tradition.",,,,2
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,"Investigate the religious tradition's movement throughout the centuries. Describe significant people, events or places that impacted on the development and acceptance of the sacred texts.",,,,4
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Create a glossary page and add words encountered throughout the Unit.,,,,5
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Map the expansion of the chosen religious tradition throughout the ages.,,,,6
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Create a timeline of the writing of particular texts in a religious scripture.,,,,7
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Create a timeline noting the key moments in the development of the sacred text of the religious tradition.,,,,8
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Research significant scholars and theologians that contributed to the formation of the religious tradition's sacred text.,,,,9
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Explore a variety of ways the sacred text of a particular religious tradition is used by that tradition in the 21st century.,,,,10
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Explore how Paul of Tarsus expanded the Christian movement from Jerusalem to Rome and to the world. Place the writing of his letters into the context of this journey.,,,,11
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,"After the death of Christ, the Christians were persecuted, and many died for their faith. Research the martyrdom of some of the early Christians. Investigate the texts which describe these stories.",,,,12
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Consider the impact that Emperor's Constantine battle of the Milvian bridge had on the Christian movement. Explain what transpired and the result of the battle.,,,,13
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Investigate which Gospels did not make it into the canon and comment on why the Catholic Church did not include them as part of the canon.,,,,14
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KS,Activity,Bullet,Describe the process of canonisation in the Christian Bible.,,,,15
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Explore the major moments of acceptance and / or rejection of particular texts into the Jewish Bible.,,,,16
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Review controversies in the religious tradition over the acceptance of particular texts into the scriptures of the tradition.,,,,17
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,Trace the revelation of the texts of the Qur'an using maps and a timeline to place particular surahs in their historical context.,,,,18
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,Activity,Bullet,"Discuss: In the Christian tradition, what is meant by the terms deuterocanonical and apocryphal?",,,,19
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,DetailedExample,Paragraph,Creating a timeline of the development of the Christian Scriptures,,,,20
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,DetailedExampleStep,Paragraph,"Students should note that the Christian Bible is made up of two main sections, the Jewish Bible (sometimes called The Hebrew Scriptures or Old Testament) and the Christian Scriptures (often referred to as the New Testament.) These sections can be further divided into smaller sections (The Gospels, the Letters of Paul, etc.).",,,,21
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,DetailedExampleStep,Paragraph,"A quick search on the internet will show that there is no agreed dating to many of the writings in the Bible. However, this task asks students to explore the possibilities of dates of writing and the major moments of acceptance of texts. Explain to students that not all texts are easily dated - compare this to most websites on the internet which have no indication of the date, author or location. Scholars have to look at the content and the context of books to determine possible dates when they were written.",,,,22
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,DetailedExampleStep,Paragraph,Have students explore the dating of some of the major books in the Bible.,,,,23
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,DetailedExampleStep,Paragraph,They could draw up a chart which lists the books and the range of possible dates of their writing. They could then add to this the section of the Bible this book is found in. The chart below gives an example.,,,,24
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS1,Area of Study 1 - The importance of sacred texts to the tradition,Outcome 1,VCETTU1AS1O1KK,DetailedExampleStep,Paragraph,Note: students may also need to learn what the dating abbreviations of BCE / BC and CE / AD mean.,,,,25
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,Area of Study 2 - The exegesis of texts,Outcome 2,,,OutcomeHeading,Outcome 2,,,,1
Humanities,Texts and Traditions,Year 11,Unit 1,VCETTU1AS2,Area of Study 2 - The exegesis of texts,Outcome 2,,,OutcomeDescription,Apply basic exegetical methods to explore the texts within their sociocultural and historical contexts.,,,,2
