SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,"Ways of creating, developing and sustaining character(s)",,1,1
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Storytelling processes,,1,2
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Understanding how experiences and stories can be given shape and meaning,,1,3
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,"Ways in which stimulus material can be researched, given meaning and shaped into a performance",,1,4
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Performance styles from a range of contexts relevant to historical and contemporary drama practices,,1,5
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Conventions of selected performance styles,,1,6
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,"Application of symbol and transformation of character, time and place",,1,7
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Production areas relevant to selected performance styles and knowledge of the sustainable use of such production areas,,1,8
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Dramatic elements,,1,9
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Play-making techniques,,1,10
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Exploration of character(s) in a range of performance styles,,1,11
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Expressive and performance skills used to communicate character(s) and meaning to an audience,,1,12
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KK,Outcome 1,Drama Students,,Key Knowledge,Approaches to recording and documenting use of play-making techniques.,,1,13
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KS,Outcome 1,Drama Students,,Key Skills,"Create, develop and sustain character(s) to communicate meaning",,1,1
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KS,Outcome 1,Drama Students,,Key Skills,"Explore performance styles from a range of historical, contemporary, cultural and social contexts",,1,2
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KS,Outcome 1,Drama Students,,Key Skills,Identify and effectively manipulate dramatic elements,,1,3
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KS,Outcome 1,Drama Students,,Key Skills,"Apply symbol and transformation of character, time and place",,1,4
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KS,Outcome 1,Drama Students,,Key Skills,Identify and apply production areas relevant to the selected performance styles,,1,5
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KS,Outcome 1,Drama Students,,Key Skills,"Document how stimulus material can be researched, given meaning and shaped into a performance",,1,6
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS1,,Area of Study 1 - Creating a devised performance,,VCEDRU1AS1O1KS,Outcome 1,Drama Students,,Key Skills,Document play-making techniques in the devising of a performance.,,1,7
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,"Ways of creating, developing and sustaining character(s) in performance",,1,1
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,Understanding how stories and ideas are given form and meaning through performance,,1,2
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,Ways in which dramatic elements can be incorporated and manipulated to enhance a performance,,1,3
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,Creation of characters through the manipulation of expressive and performance skills,,1,4
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,Conventions associated with a range of selected performance styles and contemporary drama practices,,1,5
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,"Application of symbol and transformation of character, time and place",,1,6
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,Presentation of characters and ideas by applying conventions from a range of performance styles,,1,7
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,"Ways in which relationships between actors and audiences are established, maintained and/or manipulated",,1,8
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KK,Outcome 2,Drama Students,,Key Knowledge,"Production areas and how they can be used to enhance performances, including how production area materials can be sourced and applied sustainably.",,1,9
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KS,Outcome 2,Drama Students,,Key Skills,Present a solo and/or ensemble performance,,1,1
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KS,Outcome 2,Drama Students,,Key Skills,Sustain character(s) in performance,,1,2
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KS,Outcome 2,Drama Students,,Key Skills,Shape and give form and meaning to stories and ideas,,1,3
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KS,Outcome 2,Drama Students,,Key Skills,"Manipulate expressive and performance skills to present characters, ideas and stories",,1,4
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KS,Outcome 2,Drama Students,,Key Skills,Incorporate relevant conventions from selected performance styles,,1,5
Performing Arts,Drama,Year 11,Unit 1,VCEDRU1AS2,,Area of Study 2 - Presenting a devised performance,,VCEDRU1AS2O2KS,Outcome 2,Drama Students,,Key Skills,Manipulate dramatic elements to communicate meaning,,1,6
