SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS1,,Area of Study 1 - Performing,,VCEMUU1AS1O1KK,Outcome 1,Music Students,,Key Knowledge,"How the works selected for performance are organised in terms of elements of music, concepts and compositional devices",,1,1
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS1,,Area of Study 1 - Performing,,VCEMUU1AS1O1KK,Outcome 1,Music Students,,Key Knowledge,"Effective instrumental and ensemble/group practice including, as appropriate, the use of music-making technology, devices and sound equipment",,1,2
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS1,,Area of Study 1 - Performing,,VCEMUU1AS1O1KK,Outcome 1,Music Students,,Key Knowledge,"Strategies for developing individual and ensemble/group instrumental techniques, as appropriate for the selected instrument and musical tradition.",,1,3
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS1,,Area of Study 1 - Performing,,VCEMUU1AS1O1KS,Outcome 1,Music Students,,Key Skills,Demonstrate technical control and expression in performance specific to the instrument or sound source,,1,1
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS1,,Area of Study 1 - Performing,,VCEMUU1AS1O1KS,Outcome 1,Music Students,,Key Skills,Identify performance challenges relevant in selected works,,1,2
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS1,,Area of Study 1 - Performing,,VCEMUU1AS1O1KS,Outcome 1,Music Students,,Key Skills,Demonstrate and discuss a planned approach to improving instrumental and presentation techniques relevant to the performance of selected works,,1,3
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS1,,Area of Study 1 - Performing,,VCEMUU1AS1O1KS,Outcome 1,Music Students,,Key Skills,"Reflect on feedback, analyse effectiveness of approaches and identify issues for further development.",,1,4
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KK,Outcome 2,Music Students,,Key Knowledge,"Ways in which composers combine music elements, concepts and compositional devices to organise their music",,1,1
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KK,Outcome 2,Music Students,,Key Knowledge,Technical and practical factors involved in composing and/or arranging musical ideas,,1,2
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KK,Outcome 2,Music Students,,Key Knowledge,Ways of developing and refining music ideas,,1,3
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KK,Outcome 2,Music Students,,Key Knowledge,Ways of describing and documenting the creative process,,1,4
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KK,Outcome 2,Music Students,,Key Knowledge,"Ways of using digital tools to develop, record, refine and document music.",,1,5
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KS,Outcome 2,Music Students,,Key Skills,"Manipulate the elements of music, concepts and compositional devices to create a music work",,1,1
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KS,Outcome 2,Music Students,,Key Skills,"Develop and refine creative responses that focus on ways of organising the elements of music, concepts and compositional devices",,1,2
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KS,Outcome 2,Music Students,,Key Skills,Use an approach to musical organisation studied in Outcome 3,,1,3
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KS,Outcome 2,Music Students,,Key Skills,Use appropriate music terminology and language to describe their creative process and organisational approach,,1,4
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS2,,Area of Study 2 - Creating,,VCEMUU1AS2O2KS,Outcome 2,Music Students,,Key Skills,Use appropriate methods to record and document their music.,,1,5
Performing Arts,Music,Year 11,Unit 1,VCEMUU1AS3,,Area of Study 3 - Analysing and responding,,VCEMUU1AS3O3KK,Outcome 3,Music Students,,Key Knowledge,"Characteristics of the elements of music, concepts and compositional devices",,1,1
