SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KK,Outcome 1,Theatre Studies Students,,Key Knowledge,Conventions of 2 or more theatre styles pre-1945,,1,1
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KK,Outcome 1,Theatre Studies Students,,Key Knowledge,Scripts from selected pre-1945 theatre styles,,1,2
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KK,Outcome 1,Theatre Studies Students,,Key Knowledge,"Historical contexts of the styles studied including social, political and cultural",,1,3
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KK,Outcome 1,Theatre Studies Students,,Key Knowledge,Working practices in production roles to interpret scripts written pre-1945,,1,4
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KK,Outcome 1,Theatre Studies Students,,Key Knowledge,"Knowledge about the application of conventions of theatre styles, dramaturgy, acting skills, directorial skills and design skills to shape interpretations of scripts selected, studied and explored",,1,5
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KK,Outcome 1,Theatre Studies Students,,Key Knowledge,Knowledge of theatre technologies and elements of theatre composition,,1,6
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KK,Outcome 1,Theatre Studies Students,,Key Knowledge,"Knowledge of safe, ethical, inclusive and sustainable (where possible, environmentally sustainable) working practices in theatre production.",,1,7
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,"Apply production roles (actor, director, designer) to scripts",,1,1
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,Apply elements of theatre composition to realise theatrical possibilities within a script,,1,2
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,Apply dramaturgical processes to interpret scripts,,1,3
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,"Convey the historical contexts of selected scripts including social, political and cultural",,1,4
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,Apply appropriate conventions to present interpretations of selected scripts,,1,5
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,Employ at least 2 production roles to interpret scripts,,1,6
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,Apply theatre technologies and elements of theatre composition to enhance interpretation of a script for performance,,1,7
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS1,,Area of Study 1 - Exploring theatre styles and conventions pre-1945,,VCETSU1AS1O1KS,Outcome 1,Theatre Studies Students,,Key Skills,"Apply safe, ethical, inclusive and sustainable (where possible, environmentally sustainable) working practices in theatre production.",,1,8
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,Two or more pre-1945 theatre styles and their associated scripts and conventions,,1,1
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,Approaches to interpreting scripts in two or more theatre styles from pre-1945,,1,2
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,The use of dramaturgy in theatre production,,1,3
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,"The historical contexts of selected scripts such as social, political and cultural",,1,4
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,The possibilities and purposes of recontextualisation in theatre when interpreting for a contemporary audience,,1,5
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,Ways of using elements of theatre composition to develop and realise theatrical possibilities within a script,,1,6
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,"Approaches to applying the production roles of actor, director and/or designer to interpret theatre scripts",,1,7
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,The role of audiences and audience culture in interpreting scripts,,1,8
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,Elements of theatre composition,,1,9
Performing Arts,Theatre Studies,Year 11,Unit 1,VCETSU1AS2,,Area of Study 2 - Interpreting scripts,,VCETSU1AS2O2KK,Outcome 2,Theatre Studies Students,,Key Knowledge,"Safe, ethical, inclusive and sustainable (where possible, environmentally sustainable) working practices in theatre production",,1,10
