SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Performing Arts,Theatre Studies,,,,,"VCETSU1AS1,VCETSU1AS2,VCETSU1AS3,VCETSU2AS1,VCETSU2AS2,VCETSU2AS3,VCETSU3AS1,VCETSU3AS2,VCETSU3AS3,VCETSU4AS1,VCETSU4AS2,VCETSU4AS3",,,,,Header,,Performing Arts - Theatre Studies,Theatre Studies - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/teaching-and-learning-0,0
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1,,,,,UnitHeading,Unit 1 History of theatre styles and conventions pre-1945,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,,,OutcomeDescription,Identify and describe distinguishing features of two or more theatre styles from pre-1945 and scripts associated with the selected styles.,,,,2
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Example of learning activities,,,,3
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Exploring theare styles,,,,4
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Explore theatre styles pre-1945, examining the theatrical intentions, conventions and historical contexts that define these styles. In class, analyse key literature examples and investigate how conventions, relevant elements of theatre composition, and production roles of these styles are manipulated to convey themes and enhance the actor-audience relationship. Devise performances that apply the conventions of the selected styles to intentionally manipulate the actor-audience relationship.",,,,5
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Exploring stimulus material,,,,6
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Conduct research into pre-1945 theatre styles using, for example:",,,,7
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,Classical texts and manuscripts,"Conduct research into pre-1945 theatre styles using, for example:",,,8
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,Visual documentation of historical theatre spaces,"Conduct research into pre-1945 theatre styles using, for example:",,,9
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,Academic articles and journals discussing the socio-political contexts of selected periods.,"Conduct research into pre-1945 theatre styles using, for example:",,,10
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Mind-mapping and unpacking sourced material,,,,11
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Explore the creative potential of using stimulus material to communicate historical and cultural contexts by extracting dramatic potential from the researched materials. Additional literature references will be provided by the teacher to support understanding. Planning activities such as brainstorming, mind-mapping and documenting can be used to extract creative possibilities that emerge from the stimulus material; including characters, settings, contexts, storytelling, and/or narrative ideas.",,,,12
