SubjectArea,Subject,Band,TaskType,AssessmentType,AssessmentInformationDetails,AssessmentYears,MarkingGroup,MarkingGroupWeight,SubCriteria,SubCriteriaColumn,Grade,GradeMin,GradeMax,Code,Sequence,Description,RFASCode
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Text understanding and connection,20%,Demonstrates knowledge of VICs of Text,B,A+,A+,A+,VCE3RFVIC01,1,Insightfully examines critically the way ideas are presented in the text,"VCE3RFASA+01,VCE3RFASA+02"
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Text understanding and connection,20%,Demonstrates knowledge of VICs of Text,B,A,A,A,VCE3RFVIC02,2,Explains interconnected ideas and values present in the text,"VCE3RFASA01,VCE3RFASA02"
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Text understanding and connection,20%,Demonstrates knowledge of VICs of Text,B,B/B+,B/B+,B/B+,VCE3RFVIC03,3,Attempts to explain how VICs are presented in the text,"VCE3RFASBB+01,VCE3RFASBB+02"
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Text understanding and connection,20%,Demonstrates knowledge of VICs of Text,B,C/C+,C/C+,C/C+,VCE3RFVIC04,4,Lists VICs present in the text,"VCE3RFASCC+01,VCE3RFASCC+02"
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Text understanding and connection,20%,Demonstrates knowledge of VICs of Text,B,D/D+,D/D+,D/D+,VCE3RFVIC05,5,Refers to key moments from the text,VCE3RFASDD+01
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Text understanding and connection,20%,Demonstrates knowledge of VICs of Text,B,E/E+,E/E+,E/E+,VCE3RFVIC06,6,Insufficient evidence,"VCE3RFASEE+01,VCE3RFASEE+02"
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,A+,A+,A+,VCE3RFTOP01,1,Develops a nuanced contention and insightful arguments that address the demands of the topic.,VCE3RFASA+03
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,A,A,A,VCE3RFTOP02,2,Develops a contention and focused arguments that address the demands of the topic,VCE3RFASA03
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,B/B+,B/B+,B/B+,VCE3RFTOP03,3,States a contention that addresses the demands of the topic.,VCE3RFASBB+03
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,C/C+,C/C+,C/C+,VCE3RFTOP04,4,States a contention that attempts to address the demands of the topic (i.e. command word and VICs),VCE3RFASCC+03
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,D/D+,D/D+,D/D+,VCE3RFTOP05,5,Discusses VICs relevant to topic,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,E/E+,E/E+,E/E+,VCE3RFTOP06,6,Insufficient evidence,VCE3RFASEE+02
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,A+,A,A+,VCE3RFEVI01,1,Analyses highly relevant and nuanced textual evidence to support a response to the topic.,VCE3RFASA+04
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,B/B+,B/B+,B/B+,VCE3RFEVI02,2,Provides detailed textual evidence that supports the paragraph's argument,VCE3RFASBB+04
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,C/C+,C/C+,C/C+,VCE3RFEVI03,3,Selects textual evidence that is relevant to topic.,VCE3RFASCC+04
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,D/D+,D/D+,D/D+,VCE3RFEVI04,4,Directly quotes text and/or references relevant moments,VCE3RFASDD+02
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,E/E+,E/E+,E/E+,VCE3RFEVI05,5,Provides grossly inaccurate references or quotes,VCE3RFASEE+03
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,A+,A+,A+,VCE3RFCIN01,1,"Analyses how relevant text structures, language features and vocabulary choices contribute to the text's overall meaning and message",VCE3RFASA+05
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,A,B/B+,A,VCE3RFCIN02,2,Explains how relevant text features shape the audience's understanding and response to the text.,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,C/C+,C/C+,C/C+,VCE3RFCIN03,3,"Describes text features such as vocabulary choices, conventions of form, and literary/cinematic techniques (e.g. low, warm lighting; symbol)",VCE3RFASCC+05
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,D/D+,D/D+,D/D+,VCE3RFCIN04,4,Identifies text features such as form and basic literary/cinematic techniques (e.g.simile; lighting),VCE3RFASDD+03
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,E/E+,E/E+,E/E+,VCE3RFCIN05,5,States text type,VCE3RFASEE+04
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,A+,A+,A+,VCE3RFCSP01,1,Analyses how setting contributes to to expression of VICs,VCE3RFASA+06
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,A,A,A,VCE3RFCSP02,2,Explains how plot structure and/or characterisation contributes to expression of VICs,VCE3RFASA05
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,B/B+,C/C+,B/B+,VCE3RFCSP03,3,Explains how characterisation contributes to expression of VICs,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,D/D+,E/E+,D/D+,VCE3RFCSP04,4,Outlines main events and characters,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,A+,A+,A+,VCE3RFSTR01,1,Strategically organise ideas and arguments to enhance the logical flow and strengthen the overall response to the topic.,VCE3RFASA+07
