SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERA,,A,Section A,,,40,Header,Section A: Section A,,1
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERA,,A,Section A,,,,SubHeader,Instructions,,2
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERA,,A,Section A,,,,Instruction,Answer all questions in pencil on your Multiple-Choice Answer Sheet.,,3
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERA,,A,Section A,,,,Instruction,Choose the response that is correct or that best answers the question.,,4
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,,B,Section B,,,80,Header,Section B: Section B,,1
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,,B,Section B,,,,SubHeader,Instructions,,2
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,,B,Section B,,,,Instruction,Answer all questions in the spaces provided.,,3
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,,B,Section B,,,,Instruction,Write your responses in English.,,4
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB1,B,Section B,1,Q1,11,Question,"The diagram below shows a typical plant cell. Several locations have been labelled.
V--------- ® @
o _ . \ X
&i/
'
5 0.
Q\e)\'&
Q ) z
AN 0 Q- 3
Source: Adapted from LDarin/Shutterstock.com",,5
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB1,B,Section B,1i,Q1i,4,SubQuestion,"With reference to the cell above, which location (V, W, X, Y or Z) shows the Golgi :
apparatus?",,6
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB1,B,Section B,1b,Q1b,2,SubQuestion,Describe the role of tRNA in the production of a protein.,,7
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB1,B,Section B,1c,Q1c,2,SubQuestion,Explain how an enzyme catalyses the breakdown of a protein.,,8
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB1,B,Section B,1d,Q1d,1,SubQuestion,"Some proteins need to be secreted from the plant cell.
% Describe the role of vesicles in the export of protein from a cell.",,9
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB1,B,Section B,1e,Q1e,2,SubQuestion,"The process of protein synthesis can be considered a scientific model. The current
= knowledge of protein synthesis has been developed over many years, with
8 contributions from different scientists. However, models have limitations.
Identify a limitation of the model of protein synthesis, and suggest a possible solution
to this limitation.",,10
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB2,B,Section B,2,Q2,5,Question,"Complex multicellular organisms, such as humans, have many cell types that perform dif erent
functions. Two such cell types are shown in the diagrams below. Intestinal epithelial cells allow for the
uptake of nutrients along the digestive tract. Fat cells (adipocytes) store fat. The organism's proteome
plays a part in allowing for this complexity.
Intestinal epithelial cell Fat cell
. s ---- nucleus
([, ® -=7- nucleus
Source: (left image) Adapted from Dee-sign/Shutterstock.com;
(rightimage) Adapted from inspiring.team/Shut erstock.com
The dif erent cell types contain the same genes, yet they have very dif erent structures and functions.
Describe an organism's 'proteome', and use this concept to explain how organisms achieve such
diversity in cell types. Refer to the cells in the diagrams in your response.
B ----------",,11
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB3,B,Section B,3,Q3,4,Question,"Researchers have been investigating methods for the accurate analysis of ethanol
production by yeast cells. The data below represents the production of ethanol by yeast
cells from a solution of 45% glucose in water, plus some trace nutrients. No oxygen was
present.
45 Q 15
Q . 00 o Key
o o o-a ethanol
= 0-0 glucose
30 Q 10
glucose ethanol
concentration d o concentration
(%) 0-o
0-0
15 d
fermentation time (hours)
Source: D Mackie, et al., 'Simple, fast and accurate methodology for quantitative analysis using
[ Fourier transform infrared spectroscopy, with bio-hybrid fuel cell examples', MethodsX, vol. 3, 2016, pp. 128-138,
H licensed CC-BY 4.0 <ht ps://creativecommons.org/licenses/by/4.0/>",,12
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB3,B,Section B,3a,Q3a,2,SubQuestion,"State two reasons why the glucose concentration does not reduce to zero over the
S 500 hours in a solution containing yeast cells.",,13
Science,Biology,,,Year 12,Final Exam,Exam Questions,2024,"VCEBIU3AS1,VCEBIU3AS2,VCEBIU4AS1,VCEBIU4AS2,VCEBIU4AS3",VCEBI24ERB,VCEBI24EQB3,B,Section B,3b,Q3b,2,SubQuestion,"One of the researchers suggested that adding oxygen would enable the yeast cells to
produce more ethanol and consume more glucose. This would make the production of
the ethanol more efficient.
Describe the effect of adding oxygen on the production of ethanol by yeast cells. Give
a reason for your response.",,14
