SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Cellular structure and function,,1,1
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"Cells as the basic structural feature of life on Earth, including the distinction between prokaryotic and eukaryotic cells",,1,2
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Surface area to volume ratio as an important factor in the limitations of cell size and the need for internal compartments (organelles) with specific cellular functions,,1,3
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"The structure and specialisation of plant and animal cell organelles for distinct functions, including chloroplasts and mitochondria",,1,4
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"The structure and function of the plasma membrane in the passage of water, hydrophilic and hydrophobic substances via osmosis, facilitated diffusion and active transport",,1,5
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"The cell cycle and cell growth, death and differentiation",,1,6
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Binary fission in prokaryotic cells,,1,7
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"The eukaryotic cell cycle, including the characteristics of each of the sub-phases of mitosis and cytokinesis in plant and animal cells",,1,8
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Apoptosis as a regulated process of programmed cell death,,1,9
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Disruption to the regulation of the cell cycle and malfunctions in apoptosis that may result in deviant cell behaviour: cancer and the characteristics of cancer cells,,1,10
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,,VCEBIU1AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"Properties of stem cells that allow for differentiation, specialisation and renewal of cells and tissues, including the concepts of pluripotency and totipotency.",,1,11
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,,VCEBIU1AS2O2KK,Outcome 2,Biology Students,,Key Knowledge,Functioning systems,,1,1
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,,VCEBIU1AS2O2KK,Outcome 2,Biology Students,,Key Knowledge,"Specialisation and organisation of plant cells into tissues for specific functions in vascular plants, including intake, movement and loss of water",,1,2
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,,VCEBIU1AS2O2KK,Outcome 2,Biology Students,,Key Knowledge,"Specialisation and organisation of animal cells into tissues, organs and systems with specific functions: digestive, endocrine and excretory",,1,3
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,,VCEBIU1AS2O2KK,Outcome 2,Biology Students,,Key Knowledge,Regulation of systems,,1,4
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,,VCEBIU1AS2O2KK,Outcome 2,Biology Students,,Key Knowledge,Regulation of water balance in vascular plants,,1,5
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,,VCEBIU1AS2O2KK,Outcome 2,Biology Students,,Key Knowledge,"Regulation of body temperature, blood glucose and water balance in animals by homeostatic mechanisms, including stimulus-response models, feedback loops and associated organ structures",,1,6
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,,VCEBIU1AS2O2KK,Outcome 2,Biology Students,,Key Knowledge,"Malfunctions in homeostatic mechanisms: type 1 diabetes, hypoglycaemia, hyperthyroidism.",,1,7
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,Investigation design,,1,1
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"Biological science concepts specific to the selected scientific investigation and their significance, including the definition of key terms",,1,2
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"Scientific methodology relevant to the selected scientific investigation, selected from: classification and identification; controlled experiment; correlational study; fieldwork; modelling; product, process or system development; or simulation",,1,3
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,Techniques of primary qualitative and quantitative data generation relevant to the investigation,,1,4
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"Accuracy, precision, reproducibility, repeatability and validity of measurements in relation to the investigation",,1,5
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"Health, safety and ethical guidelines relevant to the selected scientific investigation",,1,6
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,Scientific evidence,,1,7
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"The distinction between an aim, a hypothesis, a model, a theory and a law",,1,8
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"Observations and investigations that are consistent with, or challenge, current scientific models or theories",,1,9
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,The characteristics of primary data,,1,10
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"Ways of organising, analysing and evaluating generated primary data to identify patterns and relationships including sources of error",,1,11
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,Use of a logbook to authenticate generated primary data,,1,12
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"The limitations of investigation methodologies and methods, and of data generation and/or analysis",,1,13
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,Science communication,,1,14
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,"The conventions of scientific report writing including scientific terminology and representations, standard abbreviations and units of measurement",,1,15
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,,VCEBIU1AS3O3KK,Outcome 3,Biology Students,,Key Knowledge,Ways of presenting key findings and implications of the selected scientific investigation.,,1,16
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,From chromosomes to genomes,,1,1
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"The distinction between genes, alleles and a genome",,1,2
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,The nature of a pair of homologous chromosomes carrying the same gene loci and the distinction between autosomes and sex chromosomes,,1,3
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Variability of chromosomes in terms of size and number in different organisms,,1,4
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Karyotypes as a visual representation that can be used to identify chromosome abnormalities,,1,5
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"The production of haploid gametes from diploid cells by meiosis, including the significance of crossing over of chromatids and independent assortment for genetic diversity",,1,6
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Genotypes and phenotypes,,1,7
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,The use of symbols in the writing of genotypes for the alleles present at a particular gene locus,,1,8
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"The expression of dominant and recessive phenotypes, including codominance and incomplete dominance",,1,9
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"Proportionate influences of genetic material, and environmental and epigenetic factors, on phenotypes",,1,10
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,Patterns of inheritance,,1,11
Science,Biology,Year 11,Unit 2,VCEBIU2AS1,,Area of Study 1 - How is inheritance explained?,,VCEBIU2AS1O1KK,Outcome 1,Biology Students,,Key Knowledge,"Pedigree charts and patterns of inheritance, including autosomal and sex-linked inheritance",,1,12
