SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Science,Biology,Year 11,Unit 1,VCEBIU1AS12,,,,UnitHeader,,Unit 1: How do organisms regulate their functions?,,,0
Science,Biology,Year 11,Unit 1,VCEBIU1AS12,,,,Paragraph,,Unit 1: How do organisms regulate their functions?,"In this unit students examine the cell as the structural and functional unit of life, from the single celled to the multicellular organism, including the requirements for sustaining cellular processes. Students focus on cell growth, replacement and death and the role of stem cells in differentiation, specialisation and renewal of cells. They explore how systems function through cell specialisation in vascular plants and animals, and consider the role homeostatic mechanisms play in maintaining an animal's internal environment.",,1
Science,Biology,Year 11,Unit 1,VCEBIU1AS12,,,,Paragraph,,Unit 1: How do organisms regulate their functions?,A student-adapted or student-designed scientific investigation is undertaken in Area of Study 3. The investigation involves the generation of primary data and is related to the function and/or the regulation of cells or systems. The investigation draws on the key science skills and key knowledge from Area of Study 1 and/or Area of Study 2.,,2
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,VCEBIU1AS1HDCF01,Descriptor,,How do cells function?,"In this area of study students examine the structure and functioning of prokaryotic and eukaryotic cells, and how the plasma membrane contributes to survival by controlling the movement of substances into and out of the cell.",,1
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,VCEBIU1AS1HDCF01,Elaboration,,How do cells function?,,"Students explore cellular growth, replacement and death.",2
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,VCEBIU1AS1HDCF01,Elaboration,,How do cells function?,,"They become familiar with the key events and regulation of the cell cycle and the processes for cell division, including disruptions to the cell cycle and deviant cell behaviour.",3
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,VCEBIU1AS1HDCF01,Elaboration,,How do cells function?,,"Students consider the properties of stem cells and their role in differentiation, specialisation and renewal of cells and tissues.",4
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,VCEBIU1AS1HDCF02,Descriptor,,How do cells function?,"On completion of this unit the student should be able to explain and compare cellular structure and function and analyse the cell cycle and cell growth, death and differentiation.",,5
Science,Biology,Year 11,Unit 1,VCEBIU1AS1,,Area of Study 1 - How do cells function?,VCEBIU1AS1HDCF03,Descriptor,,How do cells function?,To achieve this outcome the student will draw on key knowledge outlined in Area of Study 1 and the related key science skills on pages 7–8 of the study design.,,6
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,VCEBIU1AS2HDPAS01,Descriptor,,How do plant and animal systems function?,"In this area of study students explore how systems function through cell specialisation in vascular plants and in digestive, endocrine and excretory systems in animals, focusing on regulation of water balance in plants, and temperature, blood glucose and water balance in animals.",,1
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,VCEBIU1AS2HDPAS01,Elaboration,,How do plant and animal systems function?,,"Students examine how homeostatic mechanisms in animals help maintain their internal environment within a narrow range of tolerance levels, and consider malfunctions in homeostatic mechanisms.",2
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,VCEBIU1AS2HDPAS02,Descriptor,,How do plant and animal systems function?,"On completion of this unit the student should be able to explain and compare how cells are specialised and organised in plants and animals, and analyse how specific systems in plants and animals are regulated.",,3
Science,Biology,Year 11,Unit 1,VCEBIU1AS2,,Area of Study 2 - How do plant and animal systems function?,VCEBIU1AS2HDPAS03,Descriptor,,How do plant and animal systems function?,To achieve this outcome the student will draw on key knowledge outlined in Area of Study 2 and the related key science skills on pages 7–8 of the study design.,,4
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,VCEBIU1AS3HDSID01,Descriptor,,How do scientific investigations develop understanding of how organisms regulate their functions?,Survival of organisms requires control and regulation of factors within an organism and often outside an organism.,,1
Science,Biology,Year 11,Unit 1,VCEBIU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how organisms regulate their functions?,VCEBIU1AS3HDSID01,Elaboration,,How do scientific investigations develop understanding of how organisms regulate their functions?,,"Different types of cells and adaptations enhance an organism’s survival 
in a particular environment, while homeostatic mechanisms maintain the internal environment.",2
