SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERA,,A,Section A,,,30,Header,Section A: Section A,,1
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERA,,A,Section A,,,,SubHeader,Instructions,,2
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERA,,A,Section A,,,,Instruction,Answer all questions in pencil on the Multiple-Choice Answer Sheet.,,3
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERA,,A,Section A,,,,Instruction,Choose the response that is correct or that best answers the question.,,4
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERA,,A,Section A,,,,Instruction,Acorrect answer scores 1; an incorrect answer scores 0.,,5
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERA,,A,Section A,,,,Instruction,Marks will not be deducted for incorrect answers.,,6
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERA,,A,Section A,,,,Instruction,No marks wil be given if more than one answer is completed for any question.,,7
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,,B,Section B,,,90,Header,Section B: Section B,,1
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,,B,Section B,,,,SubHeader,Instructions,,2
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,,B,Section B,,,,Instruction,Answer all questions in the spaces provided.,,3
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,,B,Section B,,,,Instruction,Write your responses in English.,,4
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,VCECH24EQB1,B,Section B,1a,Q1a,2,SubQuestion,"How can melting point determination be used to check the components and purity of
solid consumer products?",,5
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,VCECH24EQB1,B,Section B,1b,Q1b,0,SubQuestion,"Linalool, C4qH,50, is a colourless oil found in lavender plants. Linalool may be useful
in the human body to reduce inflammation. The molar mass of linalool is 154 g mol™"".
HO",,6
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,VCECH24EQB1,B,Section B,1i,Q1i,6,SubQuestion,How many chiral centres are present in each linalool molecule?,,7
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,VCECH24EQB2,B,Section B,2,Q2,8,Question,"Areaction pathway begins with a hydrocarbon, Compound E.
Compound
Cly(g)/UV light
1-chloropentane
NaOH(aq)
Compound
C3Hg
H,0(g)/H;PO,
KoCr,07(aq)/H(aq) s
pentanoic acid Compound
L e
sto, u)
Compound",,8
Science,Chemistry,,,Year 12,Final Exam,Exam Questions,2024,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2,VCECHU4AS3",VCECH24ERB,VCECH24EQB2,B,Section B,2i,Q2i,2,SubQuestion,Write the molecular formula of Compound E in the box provided on page 14.,,9
