SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHER,,VCECHERAH,,,,Section A: Section A,,0
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERA,,VCECHERACM,,Section A - General Comments,ExaminerCommentary,The table below indicates the percentage of students who chose each option. The correct answer is indicated by bold text and shading.,,1
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHER,,VCECHERBH,,,,Section B: Section B,,0
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1a,ExaminerCommentary,The first mark was awarded for clear identification of one of the following:,,1
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1a,ExaminerCommentary,When the melting point range is narrow this implies a pure compound,,2
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1a,ExaminerCommentary,A broad range indicates an impure compound.,,3
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1a,ExaminerCommentary,The second mark was awarded for either of the following concepts being communicated:,,4
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1a,ExaminerCommentary,"When the melting point is narrow and it matches the melting point of the pure compound, the identity of the component can be confirmed as being the same as the pure compound.",,5
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1a,ExaminerCommentary,"A small sample of the unknown compound can be mixed with a sample of a pure compound. If the melting point of the mixture was the same as that of the pure compound, the unknown can be confirmed as being the same as the pure compound.",,6
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,There is a single chiral centre.,,7
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,The first mark was awarded for the correct calculation of n(linalool) = 0.042 / 2 = 0.021 mol,,8
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,The second mark was awarded for the correct m(linalool) = 0.021 × 154 = 3.234 mol,,9
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,The third mark was awarded for the correct percentage m(linalool) = 3.234 / 15.0 = 22%,,10
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,The first mark was awarded for any valid extraction technique:,,11
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,Solvent extraction / steam distillation / filtration.,,12
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,The second mark was awarded for any valid purification technique:,,13
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,Distillation (fractional distillation) / HPLC.,,14
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB1,VCECHERBCM,,Question 1b,ExaminerCommentary,"Some students attempted to respond to the purification process with 'recrystallisation', but as linalool is identified in the stem of the question as an oil, this could not be accepted.",,15
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB2,VCECHERBCM,,Question 2a,ExaminerCommentary,C5H12,,16
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB2,VCECHERBCM,,Question 2a,ExaminerCommentary,Students should be aware that they should not provide 'working out' material in the response boxes provided as this can invalidate a correct response.,,17
Science,Chemistry,Year 12,Final Exam,Post Exam Report,2024,,VCECHERB,VCECH24EQB2,VCECHERBCM,,Question 2a,ExaminerCommentary,The type of reaction is a substitution reaction.,,18
