SubjectArea,Subject,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Science,Chemistry,Years 11 and 12,,VCECH12OVSC01,Scope of study,,Paragraph,"The study of VCE Chemistry involves investigating and analysing the composition and behaviour of matter, and the chemical processes involved in producing useful materials for society in ways that minimise adverse effects on human health and the environment. Chemistry underpins the generation of energy for use in homes and industry, the maintenance of clean air and water, the production of food, medicines and new materials, and the treatment of wastes.",,1
Science,Chemistry,Years 11 and 12,,VCECH12OVSC02,Scope of study,,Paragraph,"An important feature of undertaking a VCE science study is the opportunity for students to engage in a range of scientific investigation methodologies, to develop key science skills, and to interrogate the links between knowledge, theory and practice. Students work collaboratively as well as independently on a range of scientific investigations involving controlled experiments, fieldwork, case studies, classification and identification, modelling, simulations, literature reviews, and the development of a product, process or system. Knowledge and application of the safety considerations, including use of safety data sheets, and ethical guidelines associated with undertaking investigations is integral to the study of VCE Chemistry.",,2
Science,Chemistry,Years 11 and 12,,VCECH12OVSC03,Scope of study,,Paragraph,"As well as increasing their understanding of scientific processes, students develop insights into how knowledge in chemistry has changed, and continues to change, in response to new evidence, discoveries and thinking. They explore the impact of chemistry on their own lives, and on society and the environment. They develop capacities that enable them to critically assess the strengths and limitations of science, respect evidence-based conclusions and gain an awareness of the ethical contexts of scientific endeavours. Students consider how science is connected to innovation in addressing contemporary chemistry-based challenges.",,3
Science,Chemistry,Years 11 and 12,,VCECH12OVRA01,Rationale,,Paragraph,"VCE Chemistry enables students to investigate a range of chemical, biochemical and geophysical phenomena through the exploration of the nature of chemicals and chemical processes. Sustainability principles, concepts and goals are used to consider how useful materials for society may be produced with the least possible adverse effects on human health and the environment. In undertaking this study, students apply chemical principles to explain and quantify the behaviour of matter, as well as undertake practical activities that involve the analysis and synthesis of a variety of materials.",,1
Science,Chemistry,Years 11 and 12,,VCECH12OVRA02,Rationale,,Paragraph,"In VCE Chemistry, students develop and enhance a range of inquiry skills, such as practical experimentation, research and analytical skills, problem-solving skills including critical and creative thinking, and communication skills. Students pose questions, formulate hypotheses, conduct investigations, and analyse and critically interpret qualitative and quantitative data. They assess the limitations of data, evaluate methodologies and results, justify their conclusions, make recommendations and communicate their findings. Students apply chemical knowledge, scientific skills, and critical and creative thinking to investigate and analyse contemporary chemistry-related issues and communicate their views from an informed position.",,2
Science,Chemistry,Years 11 and 12,,VCECH12OVRA03,Rationale,,Paragraph,"VCE Chemistry provides for continuing study pathways within the discipline and can lead to a range of careers. Branches of chemistry include organic chemistry, inorganic chemistry, analytical chemistry, physical chemistry and biochemistry. In addition, chemistry is applied in many fields of human endeavour including agriculture, bushfire research, dentistry, dietetics, education, engineering, environmental science, forensic science, forestry, horticulture, medicine, metallurgy, meteorology, nursing, pharmacy, sports science, toxicology, veterinary science and viticulture.",,3
Science,Chemistry,Years 11 and 12,,VCECH12OVAI01,Aims,,Paragraph,This study enables students to:,,1
Science,Chemistry,Years 11 and 12,,VCECH12OVAI02,Aims,,Bullet,"Develop knowledge and understanding of matter and its interaction with energy, as well as key factors that affect chemical systems, to explain the properties, structures, reactions and related applications of materials in society",,2
Science,Chemistry,Years 11 and 12,,VCECH12OVAI03,Aims,,Bullet,Understand and use the language and methodologies of chemistry to solve qualitative and quantitative problems in familiar and unfamiliar contexts,,3
Science,Chemistry,Years 11 and 12,,VCECH12OVAI04,Aims,,Bullet,"Develop knowledge and understanding of how chemical systems can be controlled to develop greener and more sustainable processes for the production of chemicals and energy while minimising any adverse effects on human health and the environment, with consideration of wastes as underutilised resources and/or feedstock for another process or product",,4
Science,Chemistry,Years 11 and 12,,VCECH12OVAI05,Aims,,Paragraph,And more broadly to:,,5
Science,Chemistry,Years 11 and 12,,VCECH12OVAI06,Aims,,Bullet,"Develop attitudes that include curiosity, open-mindedness, creativity, flexibility, integrity, attention to detail and respect for evidence-based conclusions",,6
Science,Chemistry,Years 11 and 12,,VCECH12OVAI07,Aims,,Bullet,"Develop an understanding of the cooperative, cumulative, iterative and interdisciplinary nature of science as a human endeavour, including its possibilities, limitations and sociocultural, economic, political and legal influences and consequences",,7
Science,Chemistry,Years 11 and 12,,VCECH12OVAI08,Aims,,Bullet,"Develop a range of individual and collaborative science inquiry skills through a variety of investigation methodologies in the laboratory and field, refining investigations to improve data quality",,8
Science,Chemistry,Years 11 and 12,,VCECH12OVAI09,Aims,,Bullet,"Understand the research, ethical and safety guidelines that govern the study and practice of the discipline and apply these guidelines to generate, collate, analyse, critically evaluate and report data",,9
Science,Chemistry,Years 11 and 12,,VCECH12OVAI10,Aims,,Bullet,"Analyse and interpret qualitative and quantitative data to provide evidence, recognising patterns, relationships and limitations of data",,10
Science,Chemistry,Years 11 and 12,,VCECH12OVAI11,Aims,,Bullet,"Develop an informed and critical perspective, as local and global citizens, on contemporary science-based issues",,11
Science,Chemistry,Years 11 and 12,,VCECH12OVAI12,Aims,,Bullet,"Develop knowledge and understanding of key models, concepts, theories and laws of science to explain scientific processes and phenomena, and apply this understanding in familiar and unfamiliar situations, including personal, sociocultural, environmental and technological contexts",,12
Science,Chemistry,Years 11 and 12,,VCECH12OVAI13,Aims,,Bullet,"Communicate clearly and accurately an understanding of the discipline, using appropriate terminology, conventions and formats.",,13
Science,Chemistry,Years 11 and 12,,VCECH12OVST01,Structure,,Paragraph,The study is made up of four units.,,1
Science,Chemistry,Years 11 and 12,,VCECH12OVST02,Structure,,Bullet,Unit 1: How can the diversity of materials be explained?,,2
Science,Chemistry,Years 11 and 12,,VCECH12OVST03,Structure,,Bullet,Unit 2: How do chemical reactions shape the natural world?,,3
Science,Chemistry,Years 11 and 12,,VCECH12OVST04,Structure,,Bullet,Unit 3: How can design and innovation help to optimise chemical processes?,,4
Science,Chemistry,Years 11 and 12,,VCECH12OVST05,Structure,,Bullet,Unit 4: How are carbon-based compounds designed for purpose?,,5
Science,Chemistry,Years 11 and 12,,VCECH12OVST06,Structure,,Paragraph,Each unit deals with specific content contained in areas of study and is designed to enable students to achieve a set of outcomes for that unit. Each outcome is described in terms of key knowledge and key skills.,,6
Science,Chemistry,Years 11 and 12,"VCECHU1AS1,VCECHU1AS2,VCECHU2AS1,VCECHU2AS2",VCECH12OVLA01,Levels of achievement,Units 1 and 2,Subheader,Units 1 and 2,,1
Science,Chemistry,Years 11 and 12,"VCECHU1AS1,VCECHU1AS2,VCECHU2AS1,VCECHU2AS2",VCECH12OVLA02,Levels of achievement,Units 1 and 2,Paragraph,"Procedures for the assessment of levels of achievement in Units 1 and 2 are a matter for school decision. Assessment of levels of achievement for these units will not be reported to the VCAA. Schools may choose to report levels of achievement using grades, descriptive statements or other indicators.",,2
Science,Chemistry,Years 11 and 12,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2",VCECH12OVLA03,Levels of achievement,Units 3 and 4,Subheader,Units 3 and 4,,3
Science,Chemistry,Years 11 and 12,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2",VCECH12OVLA04,Levels of achievement,Units 3 and 4,Paragraph,The VCAA specifies the assessment procedures for students undertaking scored assessment in Units 3 and 4. Designated assessment tasks are provided in the details for each unit in VCE study designs.,,4
Science,Chemistry,Years 11 and 12,"VCECHU3AS1,VCECHU3AS2,VCECHU4AS1,VCECHU4AS2",VCECH12OVLA05,Levels of achievement,,Paragraph,"The student's level of achievement in Units 3 and 4 will be determined by School-assessed Coursework (SAC) as specified in the VCE study design, and external assessment.",,5
