SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Science,Chemistry,Year 11,Unit 1,VCECHU1AS12,,,,UnitHeader,,Unit 1: How can the diversity of materials be explained?,,,0
Science,Chemistry,Year 11,Unit 1,VCECHU1AS12,,,,Paragraph,,Unit 1: How can the diversity of materials be explained?,"The development and use of materials for specific purposes is an important human endeavour. In this unit students investigate the chemical structures and properties of a range of materials, including covalent compounds, metals, ionic compounds and polymers. They are introduced to ways that chemical quantities are measured. They consider how manufacturing innovations lead to more sustainable products being produced for society through the use of renewable raw materials and a transition from a linear economy towards a circular economy.",,1
Science,Chemistry,Year 11,Unit 1,VCECHU1AS12,,,,Paragraph,,Unit 1: How can the diversity of materials be explained?,"Students conduct practical investigations involving the reactivity series of metals, separation of mixtures by chromatography, use of precipitation reactions to identify ionic compounds, determination of empirical formulas, and synthesis of polymers.",,2
Science,Chemistry,Year 11,Unit 1,VCECHU1AS12,,,,Paragraph,,Unit 1: How can the diversity of materials be explained?,"Throughout this unit students use chemistry terminology including symbols, formulas, chemical nomenclature and equations to represent and explain observations and data from their own investigations and to evaluate the chemistry-based claims of others.",,3
Science,Chemistry,Year 11,Unit 1,VCECHU1AS12,,,,Paragraph,,Unit 1: How can the diversity of materials be explained?,A student-directed research investigation into the sustainable production or use of a selected material is to be undertaken in Area of Study 3. The investigation explores how sustainability factors such as green chemistry principles and the transition to a circular economy are considered in the production of materials to ensure minimum toxicity and impacts on human health and the environment. The investigation draws on key knowledge and key science skills from Area of Study 1 and/or Area of Study 2.,,4
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM01,Descriptor,,How do the chemical structures of materials explain their properties and reactions?,In this area of study students focus on elements as the building blocks of useful materials.,,1
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM01,Elaboration,,How do the chemical structures of materials explain their properties and reactions?,,"They investigate the structures, properties and reactions of carbon compounds, metals and ionic compounds, and use chromatography to separate the components of mixtures.",2
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM01,Elaboration,,How do the chemical structures of materials explain their properties and reactions?,,They use metal recycling as a context to explore the transition in manufacturing processes from a linear economy to a circular economy.,3
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM02,Descriptor,,How do the chemical structures of materials explain their properties and reactions?,The selection of learning contexts should allow students to develop practical techniques to investigate the properties and reactions of various materials.,,4
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM02,Elaboration,,How do the chemical structures of materials explain their properties and reactions?,,Students develop their skills in the use of scientific equipment and apparatus.,5
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM02,Elaboration,,How do the chemical structures of materials explain their properties and reactions?,,Students may conduct flame tests to identify elements in the periodic table.,6
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM02,Elaboration,,How do the chemical structures of materials explain their properties and reactions?,,"They may model covalent, metallic and ionic structures using simple ball-and-stick models and may use computer simulations of the three-dimensional representations of molecules and lattices to better understand structures.",7
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM02,Elaboration,,How do the chemical structures of materials explain their properties and reactions?,,They use solubility tables to experimentally identify unknown ions in solution.,8
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM02,Elaboration,,How do the chemical structures of materials explain their properties and reactions?,,"They respond to challenges such as developing their own reactivity series by reacting samples of metals with acids, oxygen and water.",9
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM03,Descriptor,,How do the chemical structures of materials explain their properties and reactions?,"On completion of this unit the student should be able to explain how elements form carbon compounds, metallic lattices and ionic compounds, experimentally investigate and model the properties of different materials, and use chromatography to separate the components of mixtures.",,10
Science,Chemistry,Year 11,Unit 1,VCECHU1AS1,,Area of Study 1 - How do the chemical structures of materials explain their properties and reactions?,VCECHU1AS1HDCSM04,Descriptor,,How do the chemical structures of materials explain their properties and reactions?,To achieve this outcome the student will draw on key knowledge outlined in Area of Study 1 and the related key science skills on pages 11 and 12 of the study design.,,11
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC01,Descriptor,,How are materials quantified and classified?,"In this area of study students focus on the measurement of quantities in chemistry and the structures and properties of organic compounds, including polymers.",,1
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC02,Descriptor,,How are materials quantified and classified?,The selection of learning contexts should allow students to develop practical techniques to quantify amounts of substances and to investigate the chemistry of organic compounds.,,2
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC02,Elaboration,,How are materials quantified and classified?,,Students develop their skills in the use of scientific equipment and apparatus.,3
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC02,Elaboration,,How are materials quantified and classified?,,"They perform calculations based on the generation of primary data, such as determining the empirical formula of an ionic compound or hydrated salt, and consider how the quality of data generated in experiments can be improved.",4
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC02,Elaboration,,How are materials quantified and classified?,,They may construct models to visualise the similarities and differences between families of organic compounds.,5
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC02,Elaboration,,How are materials quantified and classified?,,Students may use common substances in their experiments such as making glue from milk.,6
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC02,Elaboration,,How are materials quantified and classified?,,"They may investigate the environmental impact of the production of polymers: for example, the recycling of biodegradable polymers derived from natural resources such as biopolyethene (Bio-PE).",7
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC02,Elaboration,,How are materials quantified and classified?,,"Students respond to challenges such as investigating how changing formulations for polymers affects their structure and properties: for example, by creating slime.",8
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC03,Descriptor,,How are materials quantified and classified?,"On completion of this unit the student should be able to calculate mole quantities, use systematic nomenclature to name organic compounds, explain how polymers can be designed for a purpose, and evaluate the consequences for human health and the environment of the production of organic materials and polymers.",,9
Science,Chemistry,Year 11,Unit 1,VCECHU1AS2,,Area of Study 2 - How are materials quantified and classified?,VCECHU1AS2HAMQC04,Descriptor,,How are materials quantified and classified?,To achieve this outcome the student will draw on key knowledge outlined in Area of Study 2 and the related key science skills on pages 11 and 12 of the study design.,,10
