SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERA,,A,Multiple-choice questions,,,30,Header,Section A: Multiple-choice questions,,1
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERA,,A,Multiple-choice questions,,,,SubHeader,Instructions,,2
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERA,,A,Multiple-choice questions,,,,Instruction,Choose the response that is correct or that best answers the question.,,3
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERA,,A,Multiple-choice questions,,,,Instruction,Acorrect answer scores 1; an incorrect answer scores 0.,,4
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERA,,A,Multiple-choice questions,,,,Instruction,Marks will not be deducted for incorrect answers.,,5
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERA,,A,Multiple-choice questions,,,,Instruction,No marks wil be given if more than one answer is completed for any question.,,6
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,,B,Section B,,,90,Header,Section B: Section B,,1
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,,B,Section B,,,,SubHeader,Instructions,,2
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,,B,Section B,,,,Instruction,Answer all questions in the spaces provided.,,3
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,,B,Section B,,,,Instruction,Write your responses in English.,,4
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1,Q1,15,Question,"Ateam of biodiversity researchers tested the hypothesis that urban golf courses
encourage more native insect diversity than urban parks. They used grid sampling, setting
up 25 insect CO, traps within each site. CO, traps anaesthetise the insects so they can be
counted, after which the insects recover and are released.
Index of Diversity (SID) was calculated by the researchers, to compare the
native insect diversity of the two sites.",,5
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1a,Q1a,3,SubQuestion,"The researchers used grid sampling in their study.
Explain why grid sampling was used, rather than transect sampling. Give one
example of when transect sampling could be used in preference to grid sampling.",,6
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1b,Q1b,2,SubQuestion,"Use the figures in the table below and the space provided to calculate SID for the
golf course.",,7
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1c,Q1c,2,SubQuestion,"SID for insects within the urban park was calculated as 0.56.
Using these figures, compare the insect diversity of the urban park and the golf
course, as indicated by the SID.",,8
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1d,Q1d,2,SubQuestion,"The researchers found that ground-nesting native bees are not found in much of the
urban landscape because it is dominated by exotic flowering plants and is highly
managed by humans. Golf courses, on the other hand, contain 'rough' areas that are
dominated by native vegetation with minimal human intervention.
Using this information, suggest two reasons why ground-nesting native bees might
survive on golf courses but not in urban parks.",,9
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1e,Q1e,2,SubQuestion,Give two reasons why it is important to maintain insect populations in ecosystems.,,10
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1f,Q1f,2,SubQuestion,"One criticism of insect CO, traps as a method is that they are less effective at
capturing smaller insects. :
Explain how this limitation would have reduced the validity of this study.",,11
Science,Environmental Science,,,Year 12,Final Exam,Exam Questions,2024,,VCEES24ERB,VCEES24EQB1,B,Section B,1g,Q1g,2,SubQuestion,"Evaluate whether the study adheres to ethical guidelines for undertaking scientific
research.",,12
