SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,,VCEESU1AS1O1KK,Outcome 1,Environmental Science Students,,Key Knowledge,Investigation of local ecosystems,,1,1
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,,VCEESU1AS1O1KK,Outcome 1,Environmental Science Students,,Key Knowledge,The range of biotic and abiotic components that determine the environmental conditions of varied habitats within aquatic and terrestrial ecosystems,,1,2
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,,VCEESU1AS1O1KK,Outcome 1,Environmental Science Students,,Key Knowledge,"Interrelationships within ecological communities as represented by food chains, food webs, energy and biomass pyramids",,1,3
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,,VCEESU1AS1O1KK,Outcome 1,Environmental Science Students,,Key Knowledge,Earth systems thinking,,1,4
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,,VCEESU1AS1O1KK,Outcome 1,Environmental Science Students,,Key Knowledge,"Natural interactions between Earth's four systems - the atmosphere, biosphere, hydrosphere and lithosphere - that support and are affected by the movement of energy and matter within and between local and global ecosystems",,1,5
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,,VCEESU1AS1O1KK,Outcome 1,Environmental Science Students,,Key Knowledge,"Systems thinking as a way of exploring relationships in environmental systems by identifying inputs, outputs, components and processes that may be visible or invisible to the human eye, including representation of a local and regional environmental system.",,1,6
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,Earth's dynamic systems,,1,1
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,Transformative processes occurring during Earth's deep history that shaped the formation of Earth's four interrelated systems,,1,2
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,"Changes and disruptions to landscapes, ecosystems and biomes that influence their distribution and ecological characteristics",,1,3
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,Data and modelling,,1,4
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,Ways of using data and models to study Earth's systems and changes in Earth over time,,1,5
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,Managing environmental challenges,,1,6
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,The role of innovation and science in responding to challenges as a result of environmental change and disruption,,1,7
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS2,,Area of Study 2 - How do Earth’s systems change over time?,,VCEESU1AS2O2KK,Outcome 2,Environmental Science Students,,Key Knowledge,"The contribution of scientific data, new technologies, regulatory frameworks and diverse stakeholder values, knowledge and priorities in managing environmental challenges of regional relevance.",,1,8
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,Investigation design,,1,1
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"Environmental science concepts specific to the scientific investigation and their significance, including definitions of key terms",,1,2
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"Scientific methodology relevant to the investigation, selected from: classification and identification; controlled experiment; correlational study; fieldwork; modelling; product, process or system development; or simulation",,1,3
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,Techniques of primary qualitative and quantitative data generation relevant to the investigation,,1,4
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"Accuracy, precision, reproducibility, repeatability and validity of measurements in relation to the investigation",,1,5
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"Health, safety and ethical guidelines relevant to the selected scientific investigation",,1,6
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,Scientific evidence,,1,7
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"The distinction between an aim, a hypothesis, a model, a theory and a law",,1,8
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"Observations and investigations that are consistent with, or challenge, current scientific models or theories",,1,9
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,The characteristics of primary data,,1,10
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"Ways of organising, analysing and evaluating generated primary data to identify patterns and relationships, and to identify sources of error",,1,11
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,The use of a logbook to authenticate generated primary data,,1,12
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"The limitations of investigation methodologies and methods, and of data generation and/or analysis",,1,13
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,Science communication,,1,14
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS3,,Area of Study 3 - How do scientific investigations develop understanding of how Earth’s systems support life?,,VCEESU1AS3O3KK,Outcome 3,Environmental Science Students,,Key Knowledge,"The conventions of scientific report writing including scientific terminology and representations, standard abbreviations and units of measurement",,1,15
