SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS12,,,,UnitHeader,,Unit 1: How are Earth’s dynamic systems interconnected to support life?,,,0
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS12,,,,Paragraph,,Unit 1: How are Earth’s dynamic systems interconnected to support life?,"Earth has been dramatically altered over the past 4.5 billion years by naturally occurring climate swings, volcanic activity, drifting continents and other transformative processes. Human activities and lifestyles have an impact on, and are impacted by, Earth's systems both directly and indirectly, and with both immediate and far-reaching effects.",,1
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS12,,,,Paragraph,,Unit 1: How are Earth’s dynamic systems interconnected to support life?,"In this unit students examine the processes and interactions occurring within and between Earth's four interrelated systems - the atmosphere, biosphere, hydrosphere and lithosphere. They focus on how ecosystem functioning can influence many local, regional and global environmental conditions such as plant productivity, soil fertility, water quality and air quality. Students explore how changes that have taken place throughout geological and recent history are fundamental to predicting the likely impact of future changes. They consider a variety of influencing factors in achieving a solutions-focused approach to responsible management of challenges related to natural and human-induced environmental change.",,2
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS12,,,,Paragraph,,Unit 1: How are Earth’s dynamic systems interconnected to support life?,"A student-adapted or student-designed scientific investigation is undertaken in Area of Study 3. The investigation involves the generation of primary data and is related to ecosystem components, monitoring and/or change. It draws on the key science skills and key knowledge from Area of
Study 1 and/or Area of Study 2.",,3
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,VCEESU1AS1HAESO01,Descriptor,,How are Earth’s systems organised and connected?,"Living organisms are able to survive in ecosystems as diverse as deserts, sea beds, the tropics and Antarctica, as well as in backyard gardens and ponds.",,1
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,VCEESU1AS1HAESO01,Elaboration,,How are Earth’s systems organised and connected?,,"In this area of study students analyse the range of components and processes that contribute to ecosystem functioning, and examine how events occurring in one of Earth’s four interrelated systems can affect all systems to support life on Earth.",2
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,VCEESU1AS1HAESO02,Descriptor,,How are Earth’s systems organised and connected?,"The selection of learning contexts should allow students to develop practical techniques and undertake fieldwork to monitor and/or assess ecological integrity and to examine the inputs, processes and outputs of ecosystems.",,3
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,VCEESU1AS1HAESO02,Elaboration,,How are Earth’s systems organised and connected?,,Students develop their skills in the use of scientific equipment and apparatus.,4
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,VCEESU1AS1HAESO02,Elaboration,,How are Earth’s systems organised and connected?,,"They simulate or model population changes such as the effects of introduced species on predator–prey relationships, and develop their skills in selecting appropriate sampling methods to determine the number and proportion of different species present, such as transects and quadrats in fieldwork.",5
Science,Environmental Science,Year 11,Unit 1,VCEESU1AS1,,Area of Study 1 - How are Earth’s systems organised and connected?,VCEESU1AS1HAESO03,Descriptor,,How are Earth’s systems organised and connected?,"On completion of this unit the student should be able to describe the movement of energy and nutrients across Earth’s four interrelated systems, and analyse how dynamic interactions among biotic and abiotic components of selected local and regional ecosystems contribute to their capacity to support life and sustain ecological integrity.",,6
