Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 1 and 2,Exploring,,VC2ADR2E01,"Explore where, when, why and how communities and cultures make drama, including the drama of Aboriginal and Torres Strait Islander Peoples",,"Asking viewpoint questions about the drama they experience, such as ‘Where is the drama happening?’, ‘Who are the characters?’ and ‘What is the story about?’"
Levels 1 and 2,Exploring,,VC2ADR2E01,"Explore where, when, why and how communities and cultures make drama, including the drama of Aboriginal and Torres Strait Islander Peoples",,"Exploring how drama communicates culture in their own communities through storytelling, including the drama of Aboriginal and Torres Strait Islander Peoples"
Levels 1 and 2,Exploring,,VC2ADR2E01,"Explore where, when, why and how communities and cultures make drama, including the drama of Aboriginal and Torres Strait Islander Peoples",,"Exploring a selection of the elements of drama: character and relationships, climax, conflict, context and setting, contrast, dramatic meaning, mood, sound, space and time, symbol and tension"
Levels 1 and 2,Exploring,,VC2ADR2E01,"Explore where, when, why and how communities and cultures make drama, including the drama of Aboriginal and Torres Strait Islander Peoples",,"Participating in small-group improvisations and storytelling to create moments of conflict and tension, offering and accepting ideas in pairs by responding to prompts about character and relationships, context and setting"
Levels 1 and 2,Exploring,,VC2ADR2E01,"Explore where, when, why and how communities and cultures make drama, including the drama of Aboriginal and Torres Strait Islander Peoples",,"Exploring characters and relationships to inform dramatic meaning when participating in whole-class, teacher-led process drama and role-play"
Levels 1 and 2,Exploring,,VC2ADR2E01,"Explore where, when, why and how communities and cultures make drama, including the drama of Aboriginal and Torres Strait Islander Peoples",,"Recognising how drama can show feelings such as tension, fear or joy"
Levels 1 and 2,Developing Practices,,VC2ADR2D01,"Develop practices for creating and performing, using the elements of drama",,"Using viewpoint questions to develop their own and others’ drama they have experienced and viewed, such as ‘What is this dramatic work about?’ and ‘What does this work mean to me and to others?’"
Levels 1 and 2,Developing Practices,,VC2ADR2D01,"Develop practices for creating and performing, using the elements of drama",,Communicating using voice and/or facial expression and movement to explore and show characters and relationships
Levels 1 and 2,Developing Practices,,VC2ADR2D01,"Develop practices for creating and performing, using the elements of drama",,Developing an awareness of bodies and the space between performers and the audience
Levels 1 and 2,Developing Practices,,VC2ADR2D01,"Develop practices for creating and performing, using the elements of drama",,"Taking part in purposeful dramatic play, focusing on creating story, characters and situations using storybooks, images, rhymes or songs"
Levels 1 and 2,Developing Practices,,VC2ADR2D01,"Develop practices for creating and performing, using the elements of drama",,"Using drama language when talking about drama they have created and experienced; for example, using the names of specific elements of drama"
Levels 1 and 2,Creating,,VC2ADR2C01,Use a variety of dramatic forms and elements of drama to create real and imagined stories,,"Using viewpoint questions to propose situations to explore in dramatic play and process drama, such as ‘What else might happen to these characters?’, ‘What might happen next?’ and ‘What might have happened before the story began?’"
Levels 1 and 2,Creating,,VC2ADR2C01,Use a variety of dramatic forms and elements of drama to create real and imagined stories,,"Using puppets to create new stories, including stories that communicate their understanding of existing stories or personal experiences"
Levels 1 and 2,Creating,,VC2ADR2C01,Use a variety of dramatic forms and elements of drama to create real and imagined stories,,Using costume items and props to inform their character
Levels 1 and 2,Creating,,VC2ADR2C01,Use a variety of dramatic forms and elements of drama to create real and imagined stories,,"Identifying conflict in stories to explore new perspectives through dramatic play, improvisation or process drama"
Levels 1 and 2,Creating,,VC2ADR2C01,Use a variety of dramatic forms and elements of drama to create real and imagined stories,,"Considering how materials and found objects might be used to create settings, costumes or props; for example, using fabric to transform into an underwater kingdom (setting), cape (costume) or boat (prop)"
Levels 1 and 2,Creating,,VC2ADR2C01,Use a variety of dramatic forms and elements of drama to create real and imagined stories,,"Contributing ideas within group work and improvisation to support or extend the narrative; for example, taking on a character or an action"
Levels 1 and 2,Creating,,VC2ADR2C01,Use a variety of dramatic forms and elements of drama to create real and imagined stories,,Communicating using facial expressions and gestures when participating in movement-based drama
Levels 1 and 2,Presenting,,VC2ADR2P01,Present and share drama that communicates ideas to audiences in informal settings,,"Presenting scenes with a structure of beginning, middle and end"
Levels 1 and 2,Presenting,,VC2ADR2P01,Present and share drama that communicates ideas to audiences in informal settings,,Retelling a cultural or community story with the assistance of representatives from that culture or community
Levels 1 and 2,Presenting,,VC2ADR2P01,Present and share drama that communicates ideas to audiences in informal settings,,"Understanding the performer–audience relationship by following stage directions, speaking clearly, and responding to cues when presenting to an audience"
Levels 1 and 2,Presenting,,VC2ADR2P01,Present and share drama that communicates ideas to audiences in informal settings,,"Enhancing ideas and stories in their presentations by using design areas such as costume, props, set pieces, sound and lighting"
Levels 1 and 2,Presenting,,VC2ADR2P01,Present and share drama that communicates ideas to audiences in informal settings,,"Discussing ways drama can show people’s different feelings about the world, based on their own experiences"
Levels 1 and 2,Presenting,,VC2ADR2P01,Present and share drama that communicates ideas to audiences in informal settings,,"Responding to feedback as they develop their drama; for example, responding to questions such as ‘Can we see the performers?’, ‘Can we hear the performers?’, ‘Will the audience understand the story?’ and ‘What do we want the audience to think about?’"
