Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 7 and 8,Exploring,,VC2AMA8E01,"investigate the ways that media arts concepts are used in media arts works to communicate ideas, perspectives and meaning across cultures, times, places and other contexts",,"using viewpoints to develop questions to analyse the ideology or philosophical perspective of a media arts work, including what institutions were involved in its distribution and its potential impact on audiences, such as ‘Who is the creator or producer of the media arts work?’, ‘Where is the media arts work viewed?’ and ‘Who are the audiences that would view the media arts work?’"
Levels 7 and 8,Exploring,,VC2AMA8E01,"investigate the ways that media arts concepts are used in media arts works to communicate ideas, perspectives and meaning across cultures, times, places and other contexts",,"identifying, describing and analysing how media languages (codes and conventions) are manipulated to construct representations of people, places and events in media genres and products"
Levels 7 and 8,Exploring,,VC2AMA8E01,"investigate the ways that media arts concepts are used in media arts works to communicate ideas, perspectives and meaning across cultures, times, places and other contexts",,identifying and describing the media technologies and processes used to create media products in specific genres and contexts and evaluating the relationship with the intended audience
Levels 7 and 8,Exploring,,VC2AMA8E01,"investigate the ways that media arts concepts are used in media arts works to communicate ideas, perspectives and meaning across cultures, times, places and other contexts",,"analysing the way audiences are positioned to respond to different representations constructed by media codes and conventions in media arts works, such as in the depiction of cultural or social groups and values"
Levels 7 and 8,Exploring,,VC2AMA8E02,"explore the diversity of media arts works created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating media arts works, including Indigenous Cultural and Intellectual Property rights",,"exploring how knowledge of the ways protocols can be used to protect Indigenous Cultural and Intellectual Property rights can help students make ethical choices about how they use content for media arts works, for example by asking questions such as ‘Who created these images, sounds or texts?’ and ‘May I use these ideas and do I need permission to do so?’"
Levels 7 and 8,Exploring,,VC2AMA8E02,"explore the diversity of media arts works created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating media arts works, including Indigenous Cultural and Intellectual Property rights",,"exploring how and why cultural expressions and media arts works are critical for sharing, maintaining, continuing and revitalising cultures"
Levels 7 and 8,Exploring,,VC2AMA8E02,"explore the diversity of media arts works created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating media arts works, including Indigenous Cultural and Intellectual Property rights",,"investigating the ways that contemporary Aboriginal and Torres Strait Islander media artists embed themselves and their communities in media arts works as a declaration of identity, storytelling and resilience"
Levels 7 and 8,Exploring,,VC2AMA8E02,"explore the diversity of media arts works created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating media arts works, including Indigenous Cultural and Intellectual Property rights",,"investigating choices Aboriginal and Torres Strait Islander media artists make about the use of technical and symbolic elements, story principles, the construction of representations and the relationships they seek to establish with audiences, while respecting Indigenous Cultural and Intellectual Property rights"
Levels 7 and 8,Exploring,,VC2AMA8E02,"explore the diversity of media arts works created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating media arts works, including Indigenous Cultural and Intellectual Property rights",,"recognising how to select and use historical materials that accurately communicate Aboriginal and Torres Strait Islander Peoples’ perspectives for inclusion in media arts works, such as their resilience in response to the impacts of colonisation"
Levels 7 and 8,Exploring,,VC2AMA8E02,"explore the diversity of media arts works created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating media arts works, including Indigenous Cultural and Intellectual Property rights",,"investigating issues relating to the use of Aboriginal and Torres Strait Islander Peoples’ languages or stories in lyrics and songs for screen-based works; for example, considering case studies that illustrate protocols relating to Indigenous Cultural and Intellectual Property rights"
Levels 7 and 8,Developing Practices,,VC2AMA8D01,develop media production skills throughout the production process to construct representations using media languages and media technologies,,"exploring ways to use media languages and media technologies to create representations that address issues such as stereotyping, bias, identity or sustainable ways of living"
Levels 7 and 8,Developing Practices,,VC2AMA8D01,develop media production skills throughout the production process to construct representations using media languages and media technologies,,"experimenting with media technologies and using media languages to design and construct representations of people, places or concepts in media arts forms, genres and platforms, such as print, moving image and interactive content"
Levels 7 and 8,Developing Practices,,VC2AMA8D01,develop media production skills throughout the production process to construct representations using media languages and media technologies,,constructing fictional versions of everyday spaces using augmented reality (AR) and virtual reality (VR)
Levels 7 and 8,Developing Practices,,VC2AMA8D01,develop media production skills throughout the production process to construct representations using media languages and media technologies,,"experimenting with audio effects, such as sound effects, music or Foley sounds, to construct ambient sound to enhance representations of different places in a media arts work"
Levels 7 and 8,Developing Practices,,VC2AMA8D01,develop media production skills throughout the production process to construct representations using media languages and media technologies,,"experimenting with established story principles, such as creating the opening scene for a documentary film that establishes a setting and location, or disrupting audience expectations so the narrative structure is not as an audience would expect"
Levels 7 and 8,Developing Practices,,VC2AMA8D01,develop media production skills throughout the production process to construct representations using media languages and media technologies,,"combining established genre conventions to make a media production, such as narrative, non-narrative, experimental, micro-documentary, trailers, music video or social media video campaign, or genres such as horror, western or comedy"
Levels 7 and 8,Developing Practices,,VC2AMA8D02,"reflect on, analyse and document their own and others’ media arts works and practices to inform decisions they make during the production process",,"using viewpoints to develop investigating questions when making decisions about how to represent a theme, concept or idea and considering media conventions, such as ‘What codes and conventions are used to represent ideas in the media arts work?’, ‘What ideas will I represent in my artwork?’, ‘What technologies used are specific to the media form and genre?’, ‘What media technologies will I use in my media arts work?’ and ‘What skills do I need to use them?’"
Levels 7 and 8,Developing Practices,,VC2AMA8D02,"reflect on, analyse and document their own and others’ media arts works and practices to inform decisions they make during the production process",,"using viewpoints to develop reflective questions, such as ‘How can I represent a range of views about this issue in my media arts work?’ and ‘What do I need to change in the production process to create a stronger connection with the audience?’"
Levels 7 and 8,Developing Practices,,VC2AMA8D02,"reflect on, analyse and document their own and others’ media arts works and practices to inform decisions they make during the production process",,"observing and considering potential audience engagement to inform refinements across pre-production, production, post-production and/or distribution processes"
Levels 7 and 8,Developing Practices,,VC2AMA8D02,"reflect on, analyse and document their own and others’ media arts works and practices to inform decisions they make during the production process",,"justifying decisions made by producers in the construction of representations of people, places or concepts through the use of technical and symbolic codes, and how producers benefit from this construction"
Levels 7 and 8,Developing Practices,,VC2AMA8D02,"reflect on, analyse and document their own and others’ media arts works and practices to inform decisions they make during the production process",,using a storyboard to annotate their creative thinking when refining production processes
Levels 7 and 8,Developing Practices,,VC2AMA8D02,"reflect on, analyse and document their own and others’ media arts works and practices to inform decisions they make during the production process",,documenting and explaining their creative choices for representations and production processes in a written or electronic journal
