Band,Subject,Unit,AreaofStudy,Code,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Inferential reading and viewing strategies,,1,1
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Inferential reading and viewing strategies,,1,1
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Ideas, concerns and tensions in a text",,1,2
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Ideas, concerns and tensions in a text",,1,2
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Vocabulary, text structures and language features in a text",,1,3
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Vocabulary, text structures and language features in a text",,1,3
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Personal and analytical writing in response to a text,,1,4
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Personal and analytical writing in response to a text,,1,4
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Small group and whole class discussion, including ways of developing constructive and collaborative interactions and building on the ideas of others",,1,5
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Small group and whole class discussion, including ways of developing constructive and collaborative interactions and building on the ideas of others",,1,5
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The conventions of discussion and debate,,1,6
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The conventions of discussion and debate,,1,6
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,7
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,7
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develop strategies for inferential reading and viewing,,1,1
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develop strategies for inferential reading and viewing,,1,1
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Consider and explore:,,1,2
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Consider and explore:,,1,2
